price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,pixel_height,processor
569990.0,MSI,Gaming,heavy,2.0,large,255,0,64,4096,NVIDIA,24.0,1,1,very_high,2160.0,Intel i9 13.0
34990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
62990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,8.0,1,1,medium,1080.0,Intel i5 13.0
322490.0,Apple,Performance,heavy,1.0,large,254,0,32,1024,Integrated,12.0,1,1,very_high,2234.0,Apple M2 2.0
69990.0,Samsung,Business,lite,1.0,small,157,0,8,512,Integrated,12.0,1,1,high,1080.0,Intel i5 13.0
57990.0,Lenovo,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,4.0,1,1,low,1080.0,AMD 5 5.0
25999.0,HP,Everyday Use,lite,1.0,small,112,0,8,512,AMD,4.0,1,0,low,768.0,AMD 3 5.0
34990.0,Honor,Performance,lite,1.0,small,141,0,8,512,AMD,6.0,1,1,medium,1080.0,AMD 5 5.0
30790.0,Lenovo,Performance,medium,1.0,medium,147,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 3 5.0
61990.0,Asus,Gaming,heavy,1.0,medium,141,0,16,512,NVIDIA,6.0,1,1,high,1080.0,Intel i5 11.0
94990.0,Apple,Performance,lite,1.0,small,224,0,8,256,Integrated,8.0,0,1,medium,1664.0,Apple M2 2.0
63990.0,Samsung,Performance,medium,1.0,medium,141,0,16,512,Integrated,10.0,0,1,medium,1080.0,Intel i5 12.0
11990.0,Asus,Performance,lite,1.0,small,135,0,4,0,Integrated,2.0,0,0,medium,768.0,Intel N4020 3.0
32990.0,Realme,Everyday Use,lite,1.0,small,157,0,8,256,Integrated,2.0,0,1,low,2160.0,Intel i3 11.0
44690.0,Lenovo,Business,medium,1.0,medium,141,0,8,512,Integrated,5.0,0,1,medium,1080.0,Intel i3 13.0
36990.0,Acer,Performance,medium,1.0,medium,141,0,16,512,Integrated,2.0,1,0,low,1080.0,Intel i3 11.0
94990.0,Lenovo,Performance,lite,1.0,small,243,1,16,1024,AMD,8.0,1,1,high,1800.0,AMD 7 7.0
