brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
10.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,1.0,12.0,12.0,1,0,1,1,1,0,0,0,0,3.0,41.0,1920.0,1080.0,0,0,2.0,19.0,13.0,74990.0
10.0,2.0,2.0,1.0,0.0,137,1.0,1,0,16,0,512,2.0,12.0,6.0,1,1,1,1,1,0,0,1,1,4.0,70.0,1920.0,1080.0,0,0,2.0,19.0,11.0,62750.0
4.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,16.0,6.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1080.0,2,0,0.0,4.0,5.0,65990.0
18.0,1.0,1.0,1.0,2.0,135,1.0,0,0,4,64,0,1.0,12.0,8.0,0,0,1,0,1,0,0,0,0,2.0,39.840625,1366.0,768.0,0,0,3.0,12.0,1.0,11990.0
2.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,12.0,12.0,1,0,1,1,1,1,0,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,12.0,49990.0
7.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,18.0,12.0,1,0,1,1,1,0,0,1,0,3.0,56.0,1920.0,1080.0,1,0,2.0,19.0,12.0,72990.0
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,256,1.0,6.0,2.0,1,0,1,1,1,0,1,0,0,2.0,37.0,1920.0,1080.0,2,0,2.0,18.0,11.0,29990.0
2.0,2.0,3.0,1.0,0.0,142,1.0,1,0,16,0,1024,2.0,36.0,24.0,1,0,1,1,1,1,0,1,0,4.0,90.0,1920.0,1200.0,0,0,2.0,21.0,13.0,144990.0
4.0,2.0,3.0,1.0,2.0,243,0.0,1,0,16,0,1024,2.0,24.0,14.0,1,0,1,1,1,0,1,0,0,3.0,63.0,2880.0,1800.0,0,0,2.0,21.0,13.0,109990.0
10.0,2.0,2.0,1.0,1.0,137,1.0,1,0,16,0,1024,2.0,24.0,10.0,1,1,1,1,1,0,0,1,0,4.0,70.0,1920.0,1080.0,0,0,2.0,20.0,12.0,87990.0
