Unnamed: 0,price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,processor
185,39990.0,asus,Performance,medium,1.0,medium,low,0,8,512,AMD,4.0,1,1,low,AMD 3 7.0
186,39990.0,lenovo,Performance,lite,1.0,small,medium,0,8,512,Integrated,6.0,1,1,low,Intel i3 12.0
187,308990.0,msi,Gaming,heavy,2.0,large,very_high,0,32,2048,NVIDIA,14.0,1,1,high,others
188,26990.0,infinix,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,1,medium,others
189,26990.0,infinix,Everyday Use,medium,1.0,medium,low,0,8,256,Integrated,2.0,1,1,medium,others
190,37990.0,hp,Performance,medium,1.0,medium,low,0,8,512,Integrated,2.0,1,1,low,Intel i3 11.0
191,51990.0,hp,Performance,medium,1.0,medium,low,0,8,512,Integrated,4.0,1,1,low,Intel i5 11.0
192,53990.0,asus,Gaming,medium,1.0,large,very_high,0,16,512,AMD,6.0,1,1,medium,AMD 5 5.0
193,108000.0,dell,Everyday Use,medium,1.0,small,low,0,8,512,Integrated,10.0,1,1,high,Intel i5 12.0
194,44550.0,dell,Everyday Use,medium,1.0,medium,medium,0,8,512,AMD,4.0,1,0,low,AMD 5 7.0
195,143000.0,hp,Everyday Use,medium,1.0,large,medium,0,16,1024,Integrated,10.0,1,1,medium,Intel i7 12.0
196,42990.0,acer,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,1,medium,Intel i3 13.0
197,354490.0,dell,Everyday Use,heavy,1.0,large,very_high,1,32,1024,NVIDIA,14.0,0,1,very_high,Intel i9 13.0
198,33900.0,lenovo,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,0,low,Intel i3 12.0
199,66999.0,hp,Everyday Use,medium,1.0,medium,low,0,16,512,AMD,8.0,1,1,medium,AMD 7 7.0
200,89990.0,dell,Everyday Use,medium,1.0,large,low,0,16,512,Integrated,10.0,1,1,medium,Intel i7 13.0
201,31990.0,lenovo,Performance,medium,1.0,medium,medium,0,8,512,AMD,4.0,1,0,low,AMD 3 7.0
202,172990.0,lenovo,Gaming,heavy,1.0,large,high,0,32,1024,NVIDIA,14.0,1,1,medium,Intel i7 13.0
203,292990.0,msi,Performance,medium,2.0,large,very_high,0,32,1024,NVIDIA,14.0,1,1,very_high,Intel i9 13.0
204,47990.0,acer,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
205,66150.0,hp,Performance,medium,1.0,medium,low,0,16,512,Integrated,12.0,1,1,low,Intel i5 13.0
206,131990.0,asus,Gaming,heavy,1.0,medium,low,0,16,1024,NVIDIA,8.0,1,1,high,AMD 9 7.0
207,179990.0,asus,Gaming,heavy,1.0,large,high,0,16,1024,NVIDIA,24.0,1,1,high,Intel i9 13.0
208,79990.0,asus,Performance,medium,1.0,large,medium,0,16,512,NVIDIA,8.0,1,1,high,Intel i5 12.0
209,41490.0,hp,Everyday Use,medium,1.0,medium,low,0,8,512,Integrated,6.0,1,1,medium,Intel i3 12.0
210,76990.0,msi,Performance,heavy,2.0,medium,low,0,16,512,NVIDIA,8.0,1,1,medium,Intel i5 12.0
211,79990.0,asus,Performance,lite,1.0,small,high,0,16,512,NVIDIA,12.0,1,1,medium,Intel i5 13.0
212,87990.0,asus,Gaming,medium,1.0,large,very_high,0,16,512,NVIDIA,12.0,1,1,medium,Intel i5 13.0
213,59519.0,asus,Gaming,heavy,1.0,large,low,0,8,512,NVIDIA,6.0,1,1,medium,Intel i5 11.0
214,61990.0,asus,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,6.0,1,1,medium,Intel i5 11.0
215,54990.0,hp,Gaming,heavy,1.0,medium,low,0,8,512,NVIDIA,6.0,1,1,medium,AMD 5 5.0
216,159990.0,asus,Everyday Use,medium,1.0,large,high,0,16,1024,NVIDIA,14.0,1,1,very_high,Intel i9 13.0
217,40990.0,others,Performance,lite,1.0,small,high,0,8,512,Integrated,4.0,0,1,low,Intel i5 11.0
218,109990.0,hp,Gaming,heavy,1.0,medium,low,0,16,512,NVIDIA,14.0,1,1,high,Intel i7 13.0
219,84000.0,acer,Everyday Use,heavy,1.0,medium,low,0,16,512,NVIDIA,8.0,1,1,high,AMD 7 7.0
220,64990.0,asus,Performance,medium,1.0,medium,low,0,16,512,Integrated,12.0,1,1,medium,Intel i5 13.0
221,24551.0,lenovo,Everyday Use,medium,1.0,medium,low,0,8,256,Integrated,2.0,1,0,low,Intel N4020 3.0
222,40990.0,others,Performance,medium,1.0,medium,low,0,16,512,AMD,6.0,1,1,high,AMD 5 5.0
223,41490.0,hp,Performance,medium,1.0,medium,low,0,8,512,AMD,6.0,1,0,low,AMD 5 5.0
224,45790.0,hp,Performance,medium,1.0,medium,low,0,8,512,AMD,4.0,1,0,low,AMD 5 7.0
225,56990.0,hp,Gaming,heavy,1.0,medium,low,0,8,512,AMD,6.0,1,1,medium,AMD 5 5.0
